"id","ICD-9 code","ICD-9 code descriptor","ICD-10 Code","ICD-10 descriptor","Created at","Updated at"
"3225","85244","Extradur hem-proln coma","S064X5A","Extradural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3226","85243","Extradural hem-mod coma","S064X3A","Extradural hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3227","85242","Extradur hem-brief coma","S064X1A","Extradural hemorrhage following injury without mention of open intracranial wound, with brief [less than 1 hour] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3228","85241","Extradural hem w/o coma","S064X0A","Extradural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3229","85166","Cerebel lacerat-coma NOS","S06379A","Cerebellar or brain stem laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3230","85146","Cerebell contus-coma NOS","S06379A","Cerebellar or brain stem contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3231","85165","Cerebell lacer-deep coma","S06376A","Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3232","85145","Cerebel contus-deep coma","S06376A","Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3233","85164","Cerebel lacer-proln coma","S06375A","Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3234","85144","Cerebel contus-prol coma","S06375A","Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss consciousness and return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3235","85163","Cerebel lacerat-mod coma","S06373A","Cerebellar or brain stem laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3236","85143","Cerebell contus-mod coma","S06373A","Cerebellar or brain stem contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3237","85162","Cerebel lacer-brief coma","S06371A","Cerebellar or brain stem laceration without mention of open intracranial wound, with brief [less than 1 hour] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3238","85142","Cerebell contus-brf coma","S06371A","Cerebellar or brain stem contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3239","85161","Cerebel lacerat w/o coma","S06370A","Cerebellar or brain stem laceration without mention of open intracranial wound, with no loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3240","85141","Cerebell contus w/o coma","S06370A","Cerebellar or brain stem contusion without mention of open intracranial wound, with no loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3241","85306","Brain hem NEC-coma NOS","S06349A","Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3242","85305","Brain hem NEC-deep coma","S06346A","Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3243","85304","Brain hem NEC-proln coma","S06345A","Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3244","85303","Brain hem NEC-mod coma","S06343A","Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3245","85302","Brain hem NEC-brief coma","S06341A","Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3246","85301","Brain hem NEC w/o coma","S06340A","Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3247","85186","Brain lacer NEC-coma NOS","S06319A","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3248","85185","Brain lac NEC-deep coma","S06316A","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3249","85184","Brain lac NEC-proln coma","S06315A","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3250","85183","Brain lacer NEC-mod coma","S06313A","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3251","85182","Brain lac NEC-brief coma","S06311A","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3252","85181","Brain lacer NEC w/o coma","S06310A","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3253","85406","Brain inj NEC-coma NOS","S061X9A","Intracranial injury of other and unspecified nature without mention of open intracranial wound, with loss of consciousness of unspecified duration","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3254","85405","Brain inj NEC-deep coma","S061X6A","Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3255","85404","Brain inj NEC-proln coma","S061X5A","Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3256","85403","Brain inj NEC-mod coma","S061X3A","Intracranial injury of other and unspecified nature without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3257","85402","Brain inj NEC-brief coma","S061X1A","Intracranial injury of other and unspecified nature without mention of open intracranial wound, with brief [less than one hour] loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3258","85401","Brain injury NEC-no coma","S061X0A","Intracranial injury of other and unspecified nature without mention of open intracranial wound, with no loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3259","8505","Concussion w coma NOS","S060X7A","Concussion with loss of consciousness of unspecified duration","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3260","8504","Concussion-deep coma","S060X6A","Concussion with prolonged loss of consciousness, without return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3261","8503","Concussion-prolong coma","S060X5A","Concussion with prolonged loss of consciousness and return to pre-existing conscious level","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3262","8502","Concussion-moderate coma","S060X3A","Concussion with moderate loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3263","85012","Concus-brf coma 31-59 mn","S060X2A","Concussion, with loss of consciousness from 31 to 59 minutes","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3264","85011","Concus-brief coma <31 mn","S060X1A","Concussion, with loss of consciousness of 30 minutes or less","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3265","9070","Lt eff intracranial inj","S060X0S","Late effect of intracranial injury without mention of skull fracture","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3266","8500","Concussion w/o coma","S060X0A","Concussion with no loss of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3267","9219","Contusion of eye NOS","S0590XA","Unspecified contusion of eye","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3268","8719","Opn wound of eyeball NOS","S058X1A","Unspecified open wound of eyeball","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3269","9089","Late effect injury NOS","S0570XS","Late effect of unspecified injury","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3270","8713","Avulsion of eye","S0570XA","Avulsion of eye","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3271","8717","Ocular penetration NOS","S0560XA","Unspecified ocular penetration","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3272","8715","Penetrat magnet FB eye","S0550XA","Penetration of eyeball with magnetic foreign body","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3273","8716","Penetrat FB NEC eye","S0550XA","Penetration of eyeball with (nonmagnetic) foreign body","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3274","8703","Penetr wnd orbit w/o FB","S0540XA","Penetrating wound of orbit, without mention of foreign body","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3275","8704","Penetrat wnd orbit w FB","S0540XA","Penetrating wound of orbit with foreign body","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3276","8710","Ocular lac w/o prolapse","S0530XA","Ocular laceration without prolapse of intraocular tissue","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3277","8711","Ocular lacera w prolapse","S0520XA","Ocular laceration with prolapse or exposure of intraocular tissue","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3278","8712","Rupture eye w tissu loss","S0520XA","Rupture of eye with partial loss of intraocular tissue","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3279","9212","Contusion orbital tissue","S0510XA","Contusion of orbital tissues","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3280","9213","Contusion of eyeball","S0510XA","Contusion of eyeball","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3281","9519","Injury cranial nerve NOS","S049XXA","Injury to unspecified cranial nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3282","9517","Injury hypoglossal nerve","S04891A","Injury to hypoglossal nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3283","9518","Injury cranial nerve NEC","S04811A","Injury to other specified cranial nerves","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3284","9516","Injury accessory nerve","S0470XA","Injury to accessory nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3285","9515","Injury to acoustic nerve","S0460XA","Injury to acoustic nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3286","9514","Injury to facial nerve","S0450XA","Injury to facial nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3287","9513","Injury abducens nerve","S0440XA","Injury to abducens nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3288","9512","Injury trigeminal nerve","S0430XA","Injury to trigeminal nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3289","9511","Injury trochlear nerve","S0420XA","Injury to trochlear nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3290","9510","Injury oculomotor nerve","S0410XA","Injury to oculomotor nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3291","9503","Injury to visual cortex","S04041A","Injury to visual cortex","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3292","9502","Injury to optic pathways","S04031A","Injury to optic pathways","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3293","9501","Injury to optic chiasm","S0402XA","Injury to optic chiasm","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3294","9071","Late eff cran nerve inj","S04011S","Late effect of injury to cranial nerve","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3295","9500","Optic nerve injury","S04011A","Optic nerve injury","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3296","8488","Sprain NEC","S038XXA","Other specified sites of sprains and strains","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3297","9057","Late effec sprain/strain","S034XXS","Late effect of sprain and strain without mention of tendon injury","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3298","8481","Sprain of jaw","S034XXA","Sprain of jaw","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3299","8480","Sprain of nasal septum","S031XXA","Sprain of septal cartilage of nose","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3300","9056","Late effect dislocation","S030XXS","Late effect of dislocation","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3301","8300","Dislocation jaw-closed","S030XXA","Closed dislocation of jaw","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3302","80350","Open skull fracture NEC","S0291XB","Other open skull fracture without mention of injury, unspecified state of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3303","80300","Close skull fracture NEC","S0291XA","Other closed skull fracture without mention of intracranial injury, unspecified state of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3304","80237","Fx alv bord mand bdy-opn","S0267XB","Open fracture of mandible, alveolar border of body","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3305","80227","Fx alveolar bord mand-cl","S0267XA","Closed fracture of mandible, alveolar border of body","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3306","80236","Fx symphy mandib bdy-opn","S0266XB","Open fracture of mandible, symphysis of body","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3307","80226","Fx symphy mandib body-cl","S0266XA","Closed fracture of mandible, symphysis of body","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3308","80235","Fx angle of jaw-open","S0265XB","Open fracture of mandible, angle of jaw","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3309","80225","Fx angle of jaw-closed","S0265XA","Closed fracture of mandible, angle of jaw","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3310","80234","Fx ramus NOS-open","S0264XB","Open fracture of mandible, ramus, unspecified","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3311","80224","Fx ramus NOS-closed","S0264XA","Closed fracture of mandible, ramus, unspecified","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3312","80233","Fx coron proc mandib-opn","S0263XB","Open fracture of mandible, coronoid process","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3313","80223","Fx coron proc mandib-cl","S0263XA","Closed fracture of mandible, coronoid process","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3314","80232","Subcondyl fx mandib-open","S0262XB","Open fracture of mandible, subcondylar","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3315","80222","Subcondylar fx mandib-cl","S0262XA","Closed fracture of mandible, subcondylar","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3316","80231","Fx condyl proc mand-open","S0261XB","Open fracture of mandible, condylar process","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3317","80221","Fx condyl proc mandib-cl","S0261XA","Closed fracture of mandible, condylar process","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3318","80230","Mandible fx NOS-open","S02609B","Open fracture of mandible, unspecified site","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3319","80220","Mandible fx NOS-closed","S02609A","Closed fracture of mandible, unspecified site","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3320","80238","Fx mandible body NEC-opn","S02600B","Open fracture of mandible, body, other and unspecified","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3321","80228","Fx mandible body NEC-cl","S02600A","Closed fracture of mandible, body, other and unspecified","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3322","87363","Broken tooth-uncomplic","S025XXA","Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3323","8029","Fx facial bone NEC-open","S0242XB","Open fracture of other facial bones","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3324","8028","Fx facial bone NEC-close","S0242XA","Closed fracture of other facial bones","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3325","8025","Fx malar/maxillary-open","S02400B","Open fracture of malar and maxillary bones","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3326","8024","Fx malar/maxillary-close","S02400A","Closed fracture of malar and maxillary bones","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3327","8027","Fx orbital floor-open","S023XXB","Open fracture of orbital floor (blow-out)","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3328","8026","Fx orbital floor-closed","S023XXA","Closed fracture of orbital floor (blow-out)","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3329","8021","Nasal bone fx-open","S022XXB","Open fracture of nasal bones","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3330","8020","Nasal bone fx-closed","S022XXA","Closed fracture of nasal bones","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3331","80150","Open skull base fracture","S0210XB","Open fracture of base of skull without mention of intracranial injury, unspecified state of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3332","80100","Clos skull base fracture","S0210XA","Closed fracture of base of skull without mention of intra cranial injury, unspecified state of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3333","9050","Late effec skull/face fx","S020XXS","Late effect of fracture of skull and face bones","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3334","V5419","Aftrce traum fx bone NEC","S020XXD","Aftercare for healing traumatic fracture of other bone","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3335","80050","Opn skull vault fracture","S020XXB","Open fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3336","80000","Closed skull vault fx","S020XXA","Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3337","8738","Open wound of head NEC","S0190XA","Other and unspecified open wound of head without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3338","8739","Open wnd head NEC-compl","S0190XA","Other and unspecified open wound of head, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3339","87352","Open wnd forehead-compl","S0182XA","Open wound of forehead, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3340","87359","Open wnd face NEC-compl","S0182XA","Open wound of other and multiple sites of face, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3341","87342","Open wound of forehead","S0180XA","Open wound of forehead, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3342","87349","Open wound of face NEC","S0180XA","Open wound of other and multiple sites of face, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3343","87371","Opn wnd buc mucosa-compl","S01542A","Open wound of buccal mucosa, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3344","87372","Open wound gum-compl","S01542A","Open wound of gum (alveolar process), complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3345","87374","Open wound tongue-compl","S01542A","Open wound of tongue and floor of mouth, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3346","87375","Open wound palate-compl","S01542A","Open wound of palate, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3347","87361","Open wound buccal mucosa","S01532A","Open wound of buccal mucosa, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3348","87362","Open wound of gum","S01532A","Open wound of gum (alveolar process), without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3349","87364","Opn wnd tongue/mouth flr","S01532A","Open wound of tongue and floor of mouth, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3350","87365","Open wound of palate","S01532A","Open wound of palate, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3351","87370","Open wnd mouth NOS-compl","S01522A","Open wound of mouth, unspecified site, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3352","87353","Open wound lip-complicat","S01521A","Open wound of lip, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3353","87360","Open wound of mouth NOS","S01502A","Open wound of mouth, unspecified site, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3354","87343","Open wound of lip","S01501A","Open wound of lip, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3355","87351","Open wound cheek-compl","S01421A","Open wound of cheek, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3356","87354","Open wound jaw-complicat","S01421A","Open wound of jaw, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3357","87341","Open wound of cheek","S01401A","Open wound of cheek, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3358","87344","Open wound of jaw","S01401A","Open wound of jaw, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3359","87210","Opn wnd ex ear NOS-compl","S01321A","Open wound of external ear, unspecified site, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3360","87201","Open wound of auricle","S01302A","Open wound of auricle, ear, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3361","87200","Opn wound extern ear NOS","S01301A","Open wound of external ear, unspecified site, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3362","87202","Opn wound auditory canal","S01301A","Open wound of auditory canal, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3363","87330","Open wnd nose NOS-compl","S0122XA","Open wound of nose, unspecified site, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3364","87320","Open wound of nose NOS","S0120XA","Open wound of nose, unspecified site, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3365","8700","Lac eyelid skn/perioculr","S01111A","Laceration of skin of eyelid and periocular area","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3366","8702","Lac eyelid inv lacrm pas","S01111A","Laceration of eyelid involving lacrimal passages","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3367","8708","Opn wnd ocular adnex NEC","S01101A","Other specified open wounds of ocular adnexa","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3368","8709","Opn wnd ocular adnex NOS","S01101A","Unspecified open wound of ocular adnexa","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3369","8731","Open wound scalp-compl","S0102XA","Open wound of scalp, complicated","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3370","9060","Lt eff opn wnd head/trnk","S0100XS","Late effect of open wound of head, neck, and trunk","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3371","8730","Open wound of scalp","S0100XA","Open wound of scalp, without mention of complication","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3372","9180","Superfic inj periocular","S00201A","Superficial injury of eyelids and periocular area","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3373","9210","Black eye NOS","S0010XA","Black eye, not otherwise specified","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3374","9211","Contusion periocular","S0010XA","Contusion of eyelids and periocular area","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3375","9104","Insect bite head","S0006XA","Insect bite, nonvenomous of face, neck, and scalp except eye, without mention of infection","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3376","9106","Foreign body head","S0005XA","Superficial foreign body (splinter) of face, neck, and scalp except eye, without major open wound and without mention of infection","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3377","9063","Late effect of contusion","S0003XS","Late effect of contusion","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3378","9102","Blister head","S0002XA","Blister of face, neck, and scalp except eye, without mention of infection","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3379","9100","Abrasion head","S0001XA","Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3380","9062","Late eff superficial inj","S0000XS","Late effect of superficial injury","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3381","V5889","Other specfied aftercare","S0000XD","Other specified aftercare","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3382","9108","Superfic inj head NEC","S0000XA","Other and unspecified superficial injury of face, neck, and scalp, without mention of infection","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3383","7980","Sudden infant death synd","R99","Sudden infant death syndrome","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3384","79589","Abnorml tumor marker NEC","R978","Other abnormal tumor markers","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
"3385","79093","Elvtd prstate spcf antgn","R972","Elevated prostate specific antigen [PSA]","2020-10-14T04:48:07.000000Z","2020-10-14T04:48:07.000000Z"
