Counter,ICD-10 code,WHO update 1=Add 2=Del,ICD-10 code descriptor,ICD-10-AM Map,Aust update 1=Add 2=Del,Additive Map (+),ICD-10-AM code descriptor
5511,M06.86,,"Other specified rheumatoid arthritis, lower leg",M06.86,,,"Other specified rheumatoid arthritis, lower leg"
5512,M06.87,,"Other specified rheumatoid arthritis, ankle and foot",M06.87,,,"Other specified rheumatoid arthritis, ankle and foot"
5513,M06.88,,"Other specified rheumatoid arthritis, other site",M06.88,,,"Other specified rheumatoid arthritis, other site"
5514,M06.89,,"Other specified rheumatoid arthritis, site unspecified",M06.89,,,"Other specified rheumatoid arthritis, site unspecified"
5515,M06.90,,"Rheumatoid arthritis, unspecified, multiple sites",M06.90,,,"Rheumatoid arthritis, unspecified, multiple sites"
5516,M06.91,,"Rheumatoid arthritis, unspecified, shoulder region",M06.91,,,"Rheumatoid arthritis, unspecified, shoulder region"
5517,M06.92,,"Rheumatoid arthritis, unspecified, upper arm",M06.92,,,"Rheumatoid arthritis, unspecified, upper arm"
5518,M06.93,,"Rheumatoid arthritis, unspecified, forearm",M06.93,,,"Rheumatoid arthritis, unspecified, forearm"
5519,M06.94,,"Rheumatoid arthritis, unspecified, hand",M06.94,,,"Rheumatoid arthritis, unspecified, hand"
5520,M06.95,,"Rheumatoid arthritis, unspecified, pelvic region and thigh",M06.95,,,"Rheumatoid arthritis, unspecified, pelvic region and thigh"
5521,M06.96,,"Rheumatoid arthritis, unspecified, lower leg",M06.96,,,"Rheumatoid arthritis, unspecified, lower leg"
5522,M06.97,,"Rheumatoid arthritis, unspecified, ankle and foot",M06.97,,,"Rheumatoid arthritis, unspecified, ankle and foot"
5523,M06.98,,"Rheumatoid arthritis, unspecified, other site",M06.98,,,"Rheumatoid arthritis, unspecified, other site"
5524,M06.99,,"Rheumatoid arthritis, unspecified, site unspecified",M06.99,,,"Rheumatoid arthritis, unspecified, site unspecified"
5525,M07.00,,"Distal interphalangeal psoriatic arthropathy (L40.5+), multiple sites",M07.00,,,"Distal interphalangeal psoriatic arthropathy (L40.5+), multiple sites"
5526,M07.04,,"Distal interphalangeal psoriatic arthropathy (L40.5+), hand",M07.04,,,"Distal interphalangeal psoriatic arthropathy (L40.5+), hand"
5527,M07.07,,"Distal interphalangeal psoriatic arthropathy (L40.5+), ankle and foot",M07.07,,,"Distal interphalangeal psoriatic arthropathy (L40.5+), ankle and foot"
5528,M07.09,,"Distal interphalangeal psoriatic arthropathy (L40.5+), site unspecified",M07.09,,,"Distal interphalangeal psoriatic arthropathy (L40.5+), site unspecified"
5529,M07.10,,"Arthritis mutilans, multiple sites (L40.5+)",M07.10,,,"Arthritis mutilans, multiple sites (L40.5+)"
5530,M07.11,,"Arthritis mutilans, shoulder region (L40.5+)",M07.11,,,"Arthritis mutilans, shoulder region (L40.5+)"
5531,M07.12,,"Arthritis mutilans, upper arm (L40.5+)",M07.12,,,"Arthritis mutilans, upper arm (L40.5+)"
5532,M07.13,,"Arthritis mutilans, forearm (L40.5+)",M07.13,,,"Arthritis mutilans, forearm (L40.5+)"
5533,M07.14,,"Arthritis mutilans, hand (L40.5+)",M07.14,,,"Arthritis mutilans, hand (L40.5+)"
5534,M07.15,,"Arthritis mutilans, pelvic region and thigh (L40.5+)",M07.15,,,"Arthritis mutilans, pelvic region and thigh (L40.5+)"
5535,M07.16,,"Arthritis mutilans, lower leg (L40.5+)",M07.16,,,"Arthritis mutilans, lower leg (L40.5+)"
5536,M07.17,,"Arthritis mutilans, ankle and foot (L40.5+)",M07.17,,,"Arthritis mutilans, ankle and foot (L40.5+)"
5537,M07.18,,"Arthritis mutilans, other site (L40.5+)",M07.18,,,"Arthritis mutilans, other site (L40.5+)"
5538,M07.19,,"Arthritis mutilans, site unspecified (L40.5+)",M07.19,,,"Arthritis mutilans, site unspecified (L40.5+)"
5539,M07.2,,Psoriatic spondylitis (L40.5+),M07.2,,,Psoriatic spondylitis (L40.5+)
5540,M07.30,,"Other psoriatic arthropathies, multiple sites (L40.5+)",M07.30,,,"Other psoriatic arthropathies, multiple sites (L40.5+)"
5541,M07.31,,"Other psoriatic arthropathies, shoulder region (L40.5+)",M07.31,,,"Other psoriatic arthropathies, shoulder region (L40.5+)"
5542,M07.32,,"Other psoriatic arthropathies, upper arm (L40.5+)",M07.32,,,"Other psoriatic arthropathies, upper arm (L40.5+)"
5543,M07.33,,"Other psoriatic arthropathies, forearm (L40.5+)",M07.33,,,"Other psoriatic arthropathies, forearm (L40.5+)"
5544,M07.34,,"Other psoriatic arthropathies, hand (L40.5+)",M07.34,,,"Other psoriatic arthropathies, hand (L40.5+)"
5545,M07.35,,"Other psoriatic arthropathies, pelvic region and thigh (L40.5+)",M07.35,,,"Other psoriatic arthropathies, pelvic region and thigh (L40.5+)"
5546,M07.36,,"Other psoriatic arthropathies, lower leg (L40.5+)",M07.36,,,"Other psoriatic arthropathies, lower leg (L40.5+)"
5547,M07.37,,"Other psoriatic arthropathies, ankle and foot (L40.5+)",M07.37,,,"Other psoriatic arthropathies, ankle and foot (L40.5+)"
5548,M07.38,,"Other psoriatic arthropathies, other site (L40.5+)",M07.38,,,"Other psoriatic arthropathies, other site (L40.5+)"
5549,M07.39,,"Other psoriatic arthropathies, site unspecified (L40.5+)",M07.39,,,"Other psoriatic arthropathies, site unspecified (L40.5+)"
5550,M07.40,,"Arthropathy in Crohn's disease [regional enteritis], multiple sites (K50.-+)",M07.40,,,"Arthropathy in Crohn's disease [regional enteritis], multiple sites (K50.-+)"
5551,M07.41,,"Arthropathy in Crohn's disease [regional enteritis], shoulder region (K50.-+)",M07.41,,,"Arthropathy in Crohn's disease [regional enteritis], shoulder region (K50.-+)"
5552,M07.42,,"Arthropathy in Crohn's disease [regional enteritis], upper arm (K50.-+)",M07.42,,,"Arthropathy in Crohn's disease [regional enteritis], upper arm (K50.-+)"
5553,M07.43,,"Arthropathy in Crohn's disease [regional enteritis], forearm (K50.-+)",M07.43,,,"Arthropathy in Crohn's disease [regional enteritis], forearm (K50.-+)"
5554,M07.44,,"Arthropathy in Crohn's disease [regional enteritis], hand (K50.-+)",M07.44,,,"Arthropathy in Crohn's disease [regional enteritis], hand (K50.-+)"
5555,M07.45,,"Arthropathy in Crohn's disease [regional enteritis], pelvic region and thigh (K50.-+)",M07.45,,,"Arthropathy in Crohn's disease [regional enteritis], pelvic region and thigh (K50.-+)"
5556,M07.46,,"Arthropathy in Crohn's disease [regional enteritis], lower leg (K50.-+)",M07.46,,,"Arthropathy in Crohn's disease [regional enteritis], lower leg (K50.-+)"
5557,M07.47,,"Arthropathy in Crohn's disease [regional enteritis], ankle and foot (K50.-+)",M07.47,,,"Arthropathy in Crohn's disease [regional enteritis], ankle and foot (K50.-+)"
5558,M07.48,,"Arthropathy in Crohn's disease [regional enteritis], other site (K50.-+)",M07.48,,,"Arthropathy in Crohn's disease [regional enteritis], other site (K50.-+)"
5559,M07.49,,"Arthropathy in Crohn's disease [regional enteritis], site unspecified (K50.-+)",M07.49,,,"Arthropathy in Crohn's disease [regional enteritis], site unspecified (K50.-+)"
5560,M07.50,,"Arthropathy in ulcerative colitis, multiple sites (K51.-+)",M07.50,,,"Arthropathy in ulcerative colitis, multiple sites (K51.-+)"
5561,M07.51,,"Arthropathy in ulcerative colitis, shoulder region (K51.-+)",M07.51,,,"Arthropathy in ulcerative colitis, shoulder region (K51.-+)"
5562,M07.52,,"Arthropathy in ulcerative colitis, upper arm (K51.-+)",M07.52,,,"Arthropathy in ulcerative colitis, upper arm (K51.-+)"
5563,M07.53,,"Arthropathy in ulcerative colitis, forearm (K51.-+)",M07.53,,,"Arthropathy in ulcerative colitis, forearm (K51.-+)"
5564,M07.54,,"Arthropathy in ulcerative colitis, hand (K51.-+)",M07.54,,,"Arthropathy in ulcerative colitis, hand (K51.-+)"
5565,M07.55,,"Arthropathy in ulcerative colitis, pelvic region and thigh (K51.-+)",M07.55,,,"Arthropathy in ulcerative colitis, pelvic region and thigh (K51.-+)"
5566,M07.56,,"Arthropathy in ulcerative colitis, lower leg (K51.-+)",M07.56,,,"Arthropathy in ulcerative colitis, lower leg (K51.-+)"
5567,M07.57,,"Arthropathy in ulcerative colitis, ankle and foot (K51.-+)",M07.57,,,"Arthropathy in ulcerative colitis, ankle and foot (K51.-+)"
5568,M07.58,,"Arthropathy in ulcerative colitis, other site (K51.-+)",M07.58,,,"Arthropathy in ulcerative colitis, other site (K51.-+)"
5569,M07.59,,"Arthropathy in ulcerative colitis, site unspecified (K51.-+)",M07.59,,,"Arthropathy in ulcerative colitis, site unspecified (K51.-+)"
5570,M07.60,,"Other enteropathic arthropathies, multiple sites",M07.60,,,"Other enteropathic arthropathies, multiple sites"
5571,M07.61,,"Other enteropathic arthropathies, shoulder region",M07.61,,,"Other enteropathic arthropathies, shoulder region"
5572,M07.62,,"Other enteropathic arthropathies, upper arm",M07.62,,,"Other enteropathic arthropathies, upper arm"
5573,M07.63,,"Other enteropathic arthropathies, forearm",M07.63,,,"Other enteropathic arthropathies, forearm"
5574,M07.64,,"Other enteropathic arthropathies, hand",M07.64,,,"Other enteropathic arthropathies, hand"
5575,M07.65,,"Other enteropathic arthropathies, pelvic region and thigh",M07.65,,,"Other enteropathic arthropathies, pelvic region and thigh"
5576,M07.66,,"Other enteropathic arthropathies, lower leg",M07.66,,,"Other enteropathic arthropathies, lower leg"
5577,M07.67,,"Other enteropathic arthropathies, ankle and foot",M07.67,,,"Other enteropathic arthropathies, ankle and foot"
5578,M07.68,,"Other enteropathic arthropathies, other site",M07.68,,,"Other enteropathic arthropathies, other site"
5579,M07.69,,"Other enteropathic arthropathies, site unspecified",M07.69,,,"Other enteropathic arthropathies, site unspecified"
5580,M08.00,,"Juvenile rheumatoid arthritis, multiple sites",M08.00,,,"Juvenile rheumatoid arthritis, multiple sites"
5581,M08.01,,"Juvenile rheumatoid arthritis, shoulder region",M08.01,,,"Juvenile rheumatoid arthritis, shoulder region"
5582,M08.02,,"Juvenile rheumatoid arthritis, upper arm",M08.02,,,"Juvenile rheumatoid arthritis, upper arm"
5583,M08.03,,"Juvenile rheumatoid arthritis, forearm",M08.03,,,"Juvenile rheumatoid arthritis, forearm"
5584,M08.04,,"Juvenile rheumatoid arthritis, hand",M08.04,,,"Juvenile rheumatoid arthritis, hand"
5585,M08.05,,"Juvenile rheumatoid arthritis, pelvic region and thigh",M08.05,,,"Juvenile rheumatoid arthritis, pelvic region and thigh"
5586,M08.06,,"Juvenile rheumatoid arthritis, lower leg",M08.06,,,"Juvenile rheumatoid arthritis, lower leg"
5587,M08.07,,"Juvenile rheumatoid arthritis, ankle and foot",M08.07,,,"Juvenile rheumatoid arthritis, ankle and foot"
5588,M08.08,,"Juvenile rheumatoid arthritis, other site",M08.08,,,"Juvenile rheumatoid arthritis, other site"
5589,M08.09,,"Juvenile rheumatoid arthritis, site unspecified",M08.09,,,"Juvenile rheumatoid arthritis, site unspecified"
5590,M08.10,,"Juvenile ankylosing spondylitis, multiple sites",M08.10,,,"Juvenile ankylosing spondylitis, multiple sites"
5591,M08.11,,"Juvenile ankylosing spondylitis, shoulder region",M08.11,,,"Juvenile ankylosing spondylitis, shoulder region"
5592,M08.12,,"Juvenile ankylosing spondylitis, upper arm",M08.12,,,"Juvenile ankylosing spondylitis, upper arm"
5593,M08.13,,"Juvenile ankylosing spondylitis, forearm",M08.13,,,"Juvenile ankylosing spondylitis, forearm"
5594,M08.14,,"Juvenile ankylosing spondylitis, hand",M08.14,,,"Juvenile ankylosing spondylitis, hand"
5595,M08.15,,"Juvenile ankylosing spondylitis, pelvic region and thigh",M08.15,,,"Juvenile ankylosing spondylitis, pelvic region and thigh"
5596,M08.16,,"Juvenile ankylosing spondylitis, lower leg",M08.16,,,"Juvenile ankylosing spondylitis, lower leg"
5597,M08.17,,"Juvenile ankylosing spondylitis, ankle and foot",M08.17,,,"Juvenile ankylosing spondylitis, ankle and foot"
5598,M08.18,,"Juvenile ankylosing spondylitis, other site",M08.18,,,"Juvenile ankylosing spondylitis, other site"
5599,M08.19,,"Juvenile ankylosing spondylitis, site unspecified",M08.19,,,"Juvenile ankylosing spondylitis, site unspecified"
5600,M08.20,,"Juvenile arthritis with systemic onset, multiple sites",M08.20,,,"Juvenile arthritis with systemic onset, multiple sites"
5601,M08.21,,"Juvenile arthritis with systemic onset, shoulder region",M08.21,,,"Juvenile arthritis with systemic onset, shoulder region"
5602,M08.22,,"Juvenile arthritis with systemic onset, upper arm",M08.22,,,"Juvenile arthritis with systemic onset, upper arm"
5603,M08.23,,"Juvenile arthritis with systemic onset, forearm",M08.23,,,"Juvenile arthritis with systemic onset, forearm"
5604,M08.24,,"Juvenile arthritis with systemic onset, hand",M08.24,,,"Juvenile arthritis with systemic onset, hand"
5605,M08.25,,"Juvenile arthritis with systemic onset, pelvic region and thigh",M08.25,,,"Juvenile arthritis with systemic onset, pelvic region and thigh"
5606,M08.26,,"Juvenile arthritis with systemic onset, lower leg",M08.26,,,"Juvenile arthritis with systemic onset, lower leg"
5607,M08.27,,"Juvenile arthritis with systemic onset, ankle and foot",M08.27,,,"Juvenile arthritis with systemic onset, ankle and foot"
5608,M08.28,,"Juvenile arthritis with systemic onset, other site",M08.28,,,"Juvenile arthritis with systemic onset, other site"
5609,M08.29,,"Juvenile arthritis with systemic onset, site unspecified",M08.29,,,"Juvenile arthritis with systemic onset, site unspecified"
5610,M08.3,,Juvenile polyarthritis (seronegative),M08.3,,,Juvenile polyarthritis (seronegative)
5611,M08.40,,"Pauciarticular juvenile arthritis, multiple sites",M08.40,,,"Pauciarticular juvenile arthritis, multiple sites"
5612,M08.41,,"Pauciarticular juvenile arthritis, shoulder region",M08.41,,,"Pauciarticular juvenile arthritis, shoulder region"
5613,M08.42,,"Pauciarticular juvenile arthritis, upper arm",M08.42,,,"Pauciarticular juvenile arthritis, upper arm"
5614,M08.43,,"Pauciarticular juvenile arthritis, forearm",M08.43,,,"Pauciarticular juvenile arthritis, forearm"
5615,M08.44,,"Pauciarticular juvenile arthritis, hand",M08.44,,,"Pauciarticular juvenile arthritis, hand"
5616,M08.45,,"Pauciarticular juvenile arthritis, pelvic region and thigh",M08.45,,,"Pauciarticular juvenile arthritis, pelvic region and thigh"
5617,M08.46,,"Pauciarticular juvenile arthritis, lower leg",M08.46,,,"Pauciarticular juvenile arthritis, lower leg"
5618,M08.47,,"Pauciarticular juvenile arthritis, ankle and foot",M08.47,,,"Pauciarticular juvenile arthritis, ankle and foot"
5619,M08.48,,"Pauciarticular juvenile arthritis, other site",M08.48,,,"Pauciarticular juvenile arthritis, other site"
5620,M08.49,,"Pauciarticular juvenile arthritis, site unspecified",M08.49,,,"Pauciarticular juvenile arthritis, site unspecified"
5621,M08.80,,"Other juvenile arthritis, multiple sites",M08.80,,,"Other juvenile arthritis, multiple sites"
5622,M08.81,,"Other juvenile arthritis, shoulder region",M08.81,,,"Other juvenile arthritis, shoulder region"
5623,M08.82,,"Other juvenile arthritis, upper arm",M08.82,,,"Other juvenile arthritis, upper arm"
5624,M08.83,,"Other juvenile arthritis, forearm",M08.83,,,"Other juvenile arthritis, forearm"
5625,M08.84,,"Other juvenile arthritis, hand",M08.84,,,"Other juvenile arthritis, hand"
5626,M08.85,,"Other juvenile arthritis, pelvic region and thigh",M08.85,,,"Other juvenile arthritis, pelvic region and thigh"
5627,M08.86,,"Other juvenile arthritis, lower leg",M08.86,,,"Other juvenile arthritis, lower leg"
5628,M08.87,,"Other juvenile arthritis, ankle and foot",M08.87,,,"Other juvenile arthritis, ankle and foot"
5629,M08.88,,"Other juvenile arthritis, other site",M08.88,,,"Other juvenile arthritis, other site"
5630,M08.89,,"Other juvenile arthritis, site unspecified",M08.89,,,"Other juvenile arthritis, site unspecified"
5631,M08.90,,"Juvenile arthritis, unspecified, multiple sites",M08.90,,,"Juvenile arthritis, unspecified, multiple sites"
5632,M08.91,,"Juvenile arthritis, unspecified, shoulder region",M08.91,,,"Juvenile arthritis, unspecified, shoulder region"
5633,M08.92,,"Juvenile arthritis, unspecified, upper arm",M08.92,,,"Juvenile arthritis, unspecified, upper arm"
5634,M08.93,,"Juvenile arthritis, unspecified, forearm",M08.93,,,"Juvenile arthritis, unspecified, forearm"
5635,M08.94,,"Juvenile arthritis, unspecified, hand",M08.94,,,"Juvenile arthritis, unspecified, hand"
5636,M08.95,,"Juvenile arthritis, unspecified, pelvic region and thigh",M08.95,,,"Juvenile arthritis, unspecified, pelvic region and thigh"
5637,M08.96,,"Juvenile arthritis, unspecified, lower leg",M08.96,,,"Juvenile arthritis, unspecified, lower leg"
5638,M08.97,,"Juvenile arthritis, unspecified, ankle and foot",M08.97,,,"Juvenile arthritis, unspecified, ankle and foot"
5639,M08.98,,"Juvenile arthritis, unspecified, other site",M08.98,,,"Juvenile arthritis, unspecified, other site"
5640,M08.99,,"Juvenile arthritis, unspecified, site unspecified",M08.99,,,"Juvenile arthritis, unspecified, site unspecified"
5641,M09.00,,"Juvenile arthritis in psoriasis, multiple sites (L40.5+)",M09.00,,,"Juvenile arthritis in psoriasis, multiple sites (L40.5+)"
5642,M09.01,,"Juvenile arthritis in psoriasis, shoulder region (L40.5+)",M09.01,,,"Juvenile arthritis in psoriasis, shoulder region (L40.5+)"
5643,M09.02,,"Juvenile arthritis in psoriasis, upper arm (L40.5+)",M09.02,,,"Juvenile arthritis in psoriasis, upper arm (L40.5+)"
5644,M09.03,,"Juvenile arthritis in psoriasis, forearm (L40.5+)",M09.03,,,"Juvenile arthritis in psoriasis, forearm (L40.5+)"
5645,M09.04,,"Juvenile arthritis in psoriasis, hand (L40.5+)",M09.04,,,"Juvenile arthritis in psoriasis, hand (L40.5+)"
5646,M09.05,,"Juvenile arthritis in psoriasis, pelvic region and thigh (L40.5+)",M09.05,,,"Juvenile arthritis in psoriasis, pelvic region and thigh (L40.5+)"
5647,M09.06,,"Juvenile arthritis in psoriasis, lower leg (L40.5+)",M09.06,,,"Juvenile arthritis in psoriasis, lower leg (L40.5+)"
5648,M09.07,,"Juvenile arthritis in psoriasis, ankle and foot (L40.5+)",M09.07,,,"Juvenile arthritis in psoriasis, ankle and foot (L40.5+)"
5649,M09.08,,"Juvenile arthritis in psoriasis, other site (L40.5+)",M09.08,,,"Juvenile arthritis in psoriasis, other site (L40.5+)"
5650,M09.09,,"Juvenile arthritis in psoriasis, site unspecified (L40.5+)",M09.09,,,"Juvenile arthritis in psoriasis, site unspecified (L40.5+)"
5651,M09.10,,"Juvenile arthritis in Crohn's disease [regional enteritis], multiple sites (K50.-+)",M09.10,,,"Juvenile arthritis in Crohn's disease [regional enteritis], multiple sites (K50.-+)"
5652,M09.11,,"Juvenile arthritis in Crohn's disease [regional enteritis], shoulder region (K50.-+)",M09.11,,,"Juvenile arthritis in Crohn's disease [regional enteritis], shoulder region (K50.-+)"
5653,M09.12,,"Juvenile arthritis in Crohn's disease [regional enteritis], upper arm (K50.-+)",M09.12,,,"Juvenile arthritis in Crohn's disease [regional enteritis], upper arm (K50.-+)"
5654,M09.13,,"Juvenile arthritis in Crohn's disease [regional enteritis], forearm (K50.-+)",M09.13,,,"Juvenile arthritis in Crohn's disease [regional enteritis], forearm (K50.-+)"
5655,M09.14,,"Juvenile arthritis in Crohn's disease [regional enteritis], hand (K50.-+)",M09.14,,,"Juvenile arthritis in Crohn's disease [regional enteritis], hand (K50.-+)"
5656,M09.15,,"Juvenile arthritis in Crohn's disease [regional enteritis], pelvic region and thigh (K50.-+)",M09.15,,,"Juvenile arthritis in Crohn's disease [regional enteritis], pelvic region and thigh (K50.-+)"
5657,M09.16,,"Juvenile arthritis in Crohn's disease [regional enteritis], lower leg (K50.-+)",M09.16,,,"Juvenile arthritis in Crohn's disease [regional enteritis], lower leg (K50.-+)"
5658,M09.17,,"Juvenile arthritis in Crohn's disease [regional enteritis], ankle and foot (K50.-+)",M09.17,,,"Juvenile arthritis in Crohn's disease [regional enteritis], ankle and foot (K50.-+)"
5659,M09.18,,"Juvenile arthritis in Crohn's disease [regional enteritis], other site (K50.-+)",M09.18,,,"Juvenile arthritis in Crohn's disease [regional enteritis], other site (K50.-+)"
5660,M09.19,,"Juvenile arthritis in Crohn's disease [regional enteritis], site unspecified (K50.-+)",M09.19,,,"Juvenile arthritis in Crohn's disease [regional enteritis], site unspecified (K50.-+)"
5661,M09.20,,"Juvenile arthritis in ulcerative colitis, multiple sites (K51.-+)",M09.20,,,"Juvenile arthritis in ulcerative colitis, multiple sites (K51.-+)"
5662,M09.21,,"Juvenile arthritis in ulcerative colitis, shoulder region (K51.-+)",M09.21,,,"Juvenile arthritis in ulcerative colitis, shoulder region (K51.-+)"
5663,M09.22,,"Juvenile arthritis in ulcerative colitis, upper arm (K51.-+)",M09.22,,,"Juvenile arthritis in ulcerative colitis, upper arm (K51.-+)"
5664,M09.23,,"Juvenile arthritis in ulcerative colitis, forearm (K51.-+)",M09.23,,,"Juvenile arthritis in ulcerative colitis, forearm (K51.-+)"
5665,M09.24,,"Juvenile arthritis in ulcerative colitis, hand (K51.-+)",M09.24,,,"Juvenile arthritis in ulcerative colitis, hand (K51.-+)"
5666,M09.25,,"Juvenile arthritis in ulcerative colitis, pelvic region and thigh (K51.-+)",M09.25,,,"Juvenile arthritis in ulcerative colitis, pelvic region and thigh (K51.-+)"
5667,M09.26,,"Juvenile arthritis in ulcerative colitis, lower leg (K51.-+)",M09.26,,,"Juvenile arthritis in ulcerative colitis, lower leg (K51.-+)"
5668,M09.27,,"Juvenile arthritis in ulcerative colitis, ankle and foot (K51.-+)",M09.27,,,"Juvenile arthritis in ulcerative colitis, ankle and foot (K51.-+)"
5669,M09.28,,"Juvenile arthritis in ulcerative colitis, other site (K51.-+)",M09.28,,,"Juvenile arthritis in ulcerative colitis, other site (K51.-+)"
5670,M09.29,,"Juvenile arthritis in ulcerative colitis, site unspecified (K51.-+)",M09.29,,,"Juvenile arthritis in ulcerative colitis, site unspecified (K51.-+)"
5671,M09.80,,"Juvenile arthritis in other diseases classified elsewhere, multiple sites",M09.80,,,"Juvenile arthritis in other diseases classified elsewhere, multiple sites"
5672,M09.81,,"Juvenile arthritis in other diseases classified elsewhere, shoulder region",M09.81,,,"Juvenile arthritis in other diseases classified elsewhere, shoulder region"
5673,M09.82,,"Juvenile arthritis in other diseases classified elsewhere, upper arm",M09.82,,,"Juvenile arthritis in other diseases classified elsewhere, upper arm"
5674,M09.83,,"Juvenile arthritis in other diseases classified elsewhere, forearm",M09.83,,,"Juvenile arthritis in other diseases classified elsewhere, forearm"
5675,M09.84,,"Juvenile arthritis in other diseases classified elsewhere, hand",M09.84,,,"Juvenile arthritis in other diseases classified elsewhere, hand"
5676,M09.85,,"Juvenile arthritis in other diseases classified elsewhere, pelvic region and thigh",M09.85,,,"Juvenile arthritis in other diseases classified elsewhere, pelvic region and thigh"
5677,M09.86,,"Juvenile arthritis in other diseases classified elsewhere, lower leg",M09.86,,,"Juvenile arthritis in other diseases classified elsewhere, lower leg"
5678,M09.87,,"Juvenile arthritis in other diseases classified elsewhere, ankle and foot",M09.87,,,"Juvenile arthritis in other diseases classified elsewhere, ankle and foot"
5679,M09.88,,"Juvenile arthritis in other diseases classified elsewhere, other site",M09.88,,,"Juvenile arthritis in other diseases classified elsewhere, other site"
5680,M09.89,,"Juvenile arthritis in other diseases classified elsewhere, site unspecified",M09.89,,,"Juvenile arthritis in other diseases classified elsewhere, site unspecified"
5681,M10.00,,"Idiopathic gout, multiple sites",M10.00,,,"Idiopathic gout, multiple sites"
5682,M10.01,,"Idiopathic gout, shoulder region",M10.01,,,"Idiopathic gout, shoulder region"
5683,M10.02,,"Idiopathic gout, upper arm",M10.02,,,"Idiopathic gout, upper arm"
5684,M10.03,,"Idiopathic gout, forearm",M10.03,,,"Idiopathic gout, forearm"
5685,M10.04,,"Idiopathic gout, hand",M10.04,,,"Idiopathic gout, hand"
5686,M10.05,,"Idiopathic gout, pelvic region and thigh",M10.05,,,"Idiopathic gout, pelvic region and thigh"
5687,M10.06,,"Idiopathic gout, lower leg",M10.06,,,"Idiopathic gout, lower leg"
5688,M10.07,,"Idiopathic gout, ankle and foot",M10.07,,,"Idiopathic gout, ankle and foot"
5689,M10.08,,"Idiopathic gout, other site",M10.08,,,"Idiopathic gout, other site"
5690,M10.09,,"Idiopathic gout, site unspecified",M10.09,,,"Idiopathic gout, site unspecified"
5691,M10.10,,"Lead-induced gout, multiple sites",M10.10,,,"Lead-induced gout, multiple sites"
5692,M10.11,,"Lead-induced gout, shoulder region",M10.11,,,"Lead-induced gout, shoulder region"
5693,M10.12,,"Lead-induced gout, upper arm",M10.12,,,"Lead-induced gout, upper arm"
5694,M10.13,,"Lead-induced gout, forearm",M10.13,,,"Lead-induced gout, forearm"
5695,M10.14,,"Lead-induced gout, hand",M10.14,,,"Lead-induced gout, hand"
5696,M10.15,,"Lead-induced gout, pelvic region and thigh",M10.15,,,"Lead-induced gout, pelvic region and thigh"
5697,M10.16,,"Lead-induced gout, lower leg",M10.16,,,"Lead-induced gout, lower leg"
5698,M10.17,,"Lead-induced gout, ankle and foot",M10.17,,,"Lead-induced gout, ankle and foot"
5699,M10.18,,"Lead-induced gout, other site",M10.18,,,"Lead-induced gout, other site"
5700,M10.19,,"Lead-induced gout, site unspecified",M10.19,,,"Lead-induced gout, site unspecified"
5701,M10.20,,"Drug-induced gout, multiple sites",M10.20,,,"Drug-induced gout, multiple sites"
5702,M10.21,,"Drug-induced gout, shoulder region",M10.21,,,"Drug-induced gout, shoulder region"
5703,M10.22,,"Drug-induced gout, upper arm",M10.22,,,"Drug-induced gout, upper arm"
5704,M10.23,,"Drug-induced gout, forearm",M10.23,,,"Drug-induced gout, forearm"
5705,M10.24,,"Drug-induced gout, hand",M10.24,,,"Drug-induced gout, hand"
5706,M10.25,,"Drug-induced gout, pelvic region and thigh",M10.25,,,"Drug-induced gout, pelvic region and thigh"
5707,M10.26,,"Drug-induced gout, lower leg",M10.26,,,"Drug-induced gout, lower leg"
5708,M10.27,,"Drug-induced gout, ankle and foot",M10.27,,,"Drug-induced gout, ankle and foot"
5709,M10.28,,"Drug-induced gout, other site",M10.28,,,"Drug-induced gout, other site"
5710,M10.29,,"Drug-induced gout, site unspecified",M10.29,,,"Drug-induced gout, site unspecified"
5711,M10.30,,"Gout due to impairment of renal function, multiple sites",M10.30,,,"Gout due to impairment of renal function, multiple sites"
5712,M10.31,,"Gout due to impairment of renal function, shoulder region",M10.31,,,"Gout due to impairment of renal function, shoulder region"
5713,M10.32,,"Gout due to impairment of renal function, upper arm",M10.32,,,"Gout due to impairment of renal function, upper arm"
5714,M10.33,,"Gout due to impairment of renal function, forearm",M10.33,,,"Gout due to impairment of renal function, forearm"
5715,M10.34,,"Gout due to impairment of renal function, hand",M10.34,,,"Gout due to impairment of renal function, hand"
5716,M10.35,,"Gout due to impairment of renal function, pelvic region and thigh",M10.35,,,"Gout due to impairment of renal function, pelvic region and thigh"
5717,M10.36,,"Gout due to impairment of renal function, lower leg",M10.36,,,"Gout due to impairment of renal function, lower leg"
5718,M10.37,,"Gout due to impairment of renal function, ankle and foot",M10.37,,,"Gout due to impairment of renal function, ankle and foot"
5719,M10.38,,"Gout due to impairment of renal function, other site",M10.38,,,"Gout due to impairment of renal function, other site"
5720,M10.39,,"Gout due to impairment of renal function, site unspecified",M10.39,,,"Gout due to impairment of renal function, site unspecified"
5721,M10.40,,"Other secondary gout, multiple sites",M10.40,,,"Other secondary gout, multiple sites"
5722,M10.41,,"Other secondary gout, shoulder region",M10.41,,,"Other secondary gout, shoulder region"
5723,M10.42,,"Other secondary gout, upper arm",M10.42,,,"Other secondary gout, upper arm"
5724,M10.43,,"Other secondary gout, forearm",M10.43,,,"Other secondary gout, forearm"
